2026-02-17 02:02:55 status unpacked findutils:amd64 4.9.0-5build1
2026-02-17 02:02:55 install gcc-14-base:amd64 <none> 14-20240412-0ubuntu1
2026-02-17 02:02:55 status half-installed gcc-14-base:amd64 14-20240412-0ubuntu1
2026-02-17 02:02:55 status unpacked gcc-14-base:amd64 14-20240412-0ubuntu1
2026-02-17 02:02:55 install grep:amd64 <none> 3.11-4build1
2026-02-17 02:02:55 status half-installed grep:amd64 3.11-4build1
2026-02-17 02:02:55 status unpacked grep:amd64 3.11-4build1
2026-02-17 02:02:55 install gzip:amd64 <none> 1.12-1ubuntu3
2026-02-17 02:02:55 status half-installed gzip:amd64 1.12-1ubuntu3
2026-02-17 02:02:55 status unpacked gzip:amd64 1.12-1ubuntu3
2026-02-17 02:02:55 install hostname:amd64 <none> 3.23+nmu2ubuntu2
2026-02-17 02:02:55 status half-installed hostname:amd64 3.23+nmu2ubuntu2
2026-02-17 02:02:55 status unpacked hostname:amd64 3.23+nmu2ubuntu2
2026-02-17 02:02:55 install init-system-helpers:all <none> 1.66ubuntu1
2026-02-17 02:02:55 status half-installed init-system-helpers:all 1.66ubuntu1
2026-02-17 02:02:55 status unpacked init-system-helpers:all 1.66ubuntu1
2026-02-17 02:02:55 install libacl1:amd64 <none> 2.3.2-1build1
2026-02-17 02:02:55 status half-installed libacl1:amd64 2.3.2-1build1
2026-02-17 02:02:55 status unpacked libacl1:amd64 2.3.2-1build1
2026-02-17 02:02:55 install libattr1:amd64 <none> 1:2.5.2-1build1
2026-02-17 02:02:55 status half-installed libattr1:amd64 1:2.5.2-1build1
2026-02-17 02:02:55 status unpacked libattr1:amd64 1:2.5.2-1build1
2026-02-17 02:02:55 install libaudit-common:all <none> 1:3.1.2-2.1build1
2026-02-17 02:02:55 status half-installed libaudit-common:all 1:3.1.2-2.1build1
2026-02-17 02:02:55 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2026-02-17 02:02:55 install libaudit1:amd64 <none> 1:3.1.2-2.1build1
2026-02-17 02:02:55 status half-installed libaudit1:amd64 1:3.1.2-2.1build1
2026-02-17 02:02:55 status unpacked libaudit1:amd64 1:3.1.2-2.1build1
2026-02-17 02:02:55 install libblkid1:amd64 <none> 2.39.3-9ubuntu6
2026-02-17 02:02:55 status half-installed libblkid1:amd64 2.39.3-9ubuntu6
2026-02-17 02:02:55 status unpacked libblkid1:amd64 2.39.3-9ubuntu6
